trait1	Forehead_Protrusion_1
trait2	Forehead_Protrusion_2
trait3	Forehead_Size_1
trait4	Forehead_Size_2
trait5	Brow_Ridge_Protrusion_1
trait6	Brow_Ridge_Protrusion_2
trait7	Eye_Size_1
trait8	Eye_Size_2
trait9	Nasion_Depth_1
trait10	Nasion_Depth_2
trait11	Nasion_Position_1
trait12	Nasion_Position_2
trait13	Eye_Position_1
trait14	Eye_Position_2
trait15	Nose_Height
trait16	Nose_Protrusion
trait17	Nose_Size
trait18	Nose_Roundness_1
trait19	Nose_Roundness_2
trait20	Nose_Roundness_3
trait21	Nose_Curvature_1
trait22	Nose_Curvature_2
trait23	Nose_Curvature_3
trait24	Columella_Inclination
trait25	Nostril_Inclination
trait26	Nostril_Size
trait27	Columella_Size
trait28	Lip_Thickness_1
trait29	Lip_Thickness_2
trait30	Lip_Thickness_3
trait31	Upper_Lip_Thickness_1
trait32	Lower_Lip_Thickness_1
trait33	Upper_Lip_Thickness_2
trait34	Lower_Lip_Thickness_2
trait35	Lip_Thickness_Ratio_1
trait36	Lip_Thickness_Ratio_2
trait37	Upper_Lip_Protrusion
trait38	Lower_Lip_Protrusion
trait39	Lip_Protrusion
trait40	Lip_Width_1
trait41	Lip_Width_2
trait42	Philtrum_Length
trait43	Chin_Protrusion_1
trait44	Chin_Protrusion_2
trait45	Ear_Size
trait46	Ear_Inclination
trait47	Jaw_Protrusion_1
trait48	Jaw_Protrusion_2
trait49	Jaw_Protrusion_3
trait50	Jaw_Protrusion_4
trait51	Jaw_Protrusion_5
trait52	Jaw_Slope_1
trait53	Chin_Roundness
trait54	Jaw_Slope_2
trait55	Upper_Face_Flatness
trait56	Face_Flatness
trait57	Brow_Ridge_Protrusion_3
trait58	Mid_Face_Flatness
trait59	Lower_Face_Flatness
