phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_ACTINOMYCOSIS	Actinomycosis	I Certain infectious and parasitic diseases (AB1_)	113	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_ACTINOMYCOSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_ACTINOMYCOSIS.gz
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	182	403431	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_AMOEBIASIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_AMOEBIASIS.gz
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2236	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_ANOGENITAL_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_ANOGENITAL_HERPES_SIMPLEX.gz
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	230	443609	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_ASPERGILLOSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_ASPERGILLOSIS.gz
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	307	451138	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_ATYPICAL_CNS_VIRUS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_ATYPICAL_CNS_VIRUS.gz
AB1_BACTINF_NOS	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	22704	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_BACTINF_NOS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_BACTINF_NOS.gz
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3171	450562	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_BACT_BIR_OTHER_INF_AGENTS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_BACT_BIR_OTHER_INF_AGENTS.gz
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	6837	403431	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_BACT_INTEST_OTH.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_BACT_INTEST_OTH.gz
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	4769	443609	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_CANDIDIASIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_CANDIDIASIS.gz
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	2478	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_CHLAMYDIA_OTHER.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_CHLAMYDIA_OTHER.gz
AB1_CHOLERA	Cholera	I Certain infectious and parasitic diseases (AB1_)	1490	403431	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_CHOLERA.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_CHOLERA.gz
AB1_DENGUE_FEVER	Dengue fever [classical dengue]	I Certain infectious and parasitic diseases (AB1_)	60	450368	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_DENGUE_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_DENGUE_FEVER.gz
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	4510	443609	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_DERMATOPHYTOSIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_DERMATOPHYTOSIS.gz
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	344	440367	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_EARLY_SYPHILIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_EARLY_SYPHILIS.gz
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	3439	441039	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_EBV.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_EBV.gz
AB1_ENTEROBIASIS	Enterobiasis	I Certain infectious and parasitic diseases (AB1_)	133	453171	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_ENTEROBIASIS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_ENTEROBIASIS.gz
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	24825	399149	gs://finngen-public-data-r11/summary_stats/finngen_R11_AB1_ERYSIPELAS.gz	https://storage.googleapis.com/finngen-public-data-r11/summary_stats/finngen_R11_AB1_ERYSIPELAS.gz
