Trait	Study	Region	Type
Brow_Ridge_Protrusion_1	Bonfante	Upper	profile
Brow_Ridge_Protrusion_2	Bonfante	Upper	profile
Brow_Ridge_Protrusion_3	Bonfante	Upper	profile
Chin_Protrusion_1	Bonfante	Lower	profile
Chin_Protrusion_2	Bonfante	Lower	profile
Columella_Inclination	Bonfante	Mid	profile
Columella_Size	Bonfante	Mid	profile
Ear_Size	Bonfante	Ear	profile
Eye_Position_1	Bonfante	Mid	profile
Forehead_Protrusion_1	Bonfante	Upper	profile
Jaw_Protrusion_2	Bonfante	Lower	profile
Jaw_Protrusion_5	Bonfante	Lower	profile
Jaw_Slope_2	Bonfante	Lower	profile
Lip_Protrusion	Bonfante	Lip	profile
Lip_Thickness_1	Bonfante	Lip	profile
Lip_Thickness_Ratio_1	Bonfante	Lip	profile
Lip_Thickness_Ratio_2	Bonfante	Lip	profile
Lower_Face_Flatness	Bonfante	Lower	profile
Lower_Lip_Protrusion	Bonfante	Lip	profile
Lower_Lip_Thickness_1	Bonfante	Lip	profile
Lower_Lip_Thickness_2	Bonfante	Lip	profile
Nasion_Depth_1	Bonfante	Mid	profile
Nasion_Depth_2	Bonfante	Mid	profile
Nasion_Position_2	Bonfante	Mid	profile
Nose_Height	Bonfante	Mid	profile
Nose_Protrusion	Bonfante	Mid	profile
Nose_Roundness_1	Bonfante	Mid	profile
Nose_Roundness_3	Bonfante	Mid	profile
Nose_Size	Bonfante	Mid	profile
Nostril_Size	Bonfante	Mid	profile
Philtrum_Length	Bonfante	Mid	profile
Upper_Face_Flatness	Bonfante	Upper	profile
AlL-AlR	Xiong	Mid	frontal
AlL-Ls	Xiong	Mid	frontal
AlL-Sn	Xiong	Mid	frontal
AlR-ChL	Xiong	Lower	frontal
EnL-AlL	Xiong	Mid	frontal
EnL-Sn	Xiong	Mid	frontal
EnR-AlR	Xiong	Mid	frontal
EnR-ChL	Xiong	Lower	frontal
EnR-ChR	Xiong	Lower	frontal
EnR-N	Xiong	Upper	frontal
EnR-Prn	Xiong	Mid	frontal
EnR-Sn	Xiong	Mid	frontal
ExL-AlL	Xiong	Mid	frontal
ExR-ChL	Xiong	Lower	frontal
ExR-ChR	Xiong	Lower	frontal
ExR-N	Xiong	Upper	frontal
N-ExL	Xiong	Upper	frontal
N-Prn	Xiong	Mid	frontal
Prn-AlL	Xiong	Mid	frontal
Prn-AlR	Xiong	Mid	frontal
Prn-EnL	Xiong	Mid	frontal
Prn-Ls	Xiong	Lower	frontal
Sn-AlR	Xiong	Mid	frontal
